               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.020319,           0.0073348,                   0,             0.97988,             0.98113,             0.98386,             0.74305,            0.021294,           0.0038697,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.019692,           0.0070483,                   0,             0.97948,             0.98113,             0.98102,             0.73499,            0.022227,           0.0038113,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.019307,           0.0074436,                   0,             0.97927,             0.98113,             0.98304,             0.72883,            0.022899,           0.0039501,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.018834,           0.0073085,                   0,             0.97923,             0.98113,             0.98482,             0.74566,            0.020203,            0.003922,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.019836,           0.0068652,                   0,             0.97955,             0.98113,             0.98591,             0.73837,            0.021936,           0.0038864,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.019195,           0.0067215,                   0,             0.97989,             0.98113,             0.98225,             0.73462,             0.02053,           0.0041254,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.019288,           0.0069491,                   0,             0.97993,             0.98113,             0.97818,             0.72588,            0.022657,            0.004053,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.018597,           0.0072626,                   0,             0.98009,             0.98113,              0.9783,             0.72336,            0.020906,           0.0042164,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.019795,           0.0067452,                   0,             0.97948,             0.98113,             0.97683,             0.74288,            0.021613,           0.0038954,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.017882,           0.0069283,                   0,             0.97938,             0.98113,             0.98083,             0.72884,            0.022805,           0.0040203,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.018922,           0.0070264,                   0,             0.97978,             0.98113,             0.98384,             0.73293,            0.022322,           0.0038498,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.018615,           0.0068218,                   0,             0.97957,             0.98113,             0.98193,             0.73255,            0.023134,           0.0038547,                   0,            0.004357,            0.004357,            0.004357
                  59,             0.01812,           0.0065659,                   0,             0.98001,             0.98113,             0.98253,             0.75837,            0.020915,           0.0038872,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.017825,           0.0065526,                   0,             0.97972,             0.98113,             0.98352,             0.72727,            0.020929,           0.0038375,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.018754,           0.0074267,                   0,             0.97921,             0.98113,              0.9794,             0.73973,            0.021563,              0.0039,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.017035,             0.00652,                   0,             0.97935,             0.98113,             0.97889,             0.73523,            0.021764,           0.0038762,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.017812,           0.0067347,                   0,             0.98016,             0.98113,             0.98083,             0.72897,            0.021179,           0.0039814,                   0,            0.003862,            0.003862,            0.003862
                  64,             0.01717,           0.0067292,                   0,             0.97996,             0.98113,             0.98376,             0.72926,            0.021432,           0.0038937,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.017286,           0.0062693,                   0,             0.97965,             0.98113,             0.98409,             0.74869,             0.02053,           0.0038667,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.017616,           0.0063956,                   0,             0.97958,             0.98113,             0.97829,             0.72679,            0.023023,           0.0039311,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.017526,           0.0067063,                   0,             0.97958,             0.98113,             0.97474,              0.7211,            0.020236,           0.0039133,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.017491,           0.0067537,                   0,             0.97973,             0.98113,             0.97489,             0.71839,             0.02042,           0.0039158,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.017204,           0.0064358,                   0,             0.97966,             0.98113,             0.97977,             0.73118,             0.02228,           0.0038952,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.017441,           0.0066464,                   0,             0.97951,             0.98113,             0.97521,             0.73225,            0.020554,           0.0039119,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.016782,           0.0064057,                   0,             0.97973,             0.98113,             0.97692,             0.71914,            0.021423,           0.0038667,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.018079,            0.006654,                   0,             0.97994,             0.98113,             0.97786,             0.72593,            0.021051,           0.0040531,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.016371,           0.0063653,                   0,              0.9798,             0.98113,             0.98001,             0.73872,            0.020777,           0.0039016,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.015979,           0.0067814,                   0,             0.97979,             0.98113,             0.97932,              0.7384,            0.021611,           0.0039041,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.016857,           0.0065046,                   0,             0.97972,             0.98113,             0.97937,             0.72591,            0.021229,           0.0039855,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.016201,           0.0067014,                   0,             0.97972,             0.98113,             0.97935,             0.73155,            0.021942,           0.0040793,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.016718,           0.0063873,                   0,             0.97979,             0.98113,              0.9789,             0.73153,            0.022265,           0.0039424,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.016899,           0.0066121,                   0,             0.97979,             0.98113,             0.98283,             0.73863,             0.02183,           0.0038158,                   0,            0.002377,            0.002377,            0.002377
                  79,             0.01598,           0.0066394,                   0,             0.97967,             0.98113,             0.98334,             0.73485,             0.02128,           0.0037892,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.016365,           0.0066218,                   0,             0.97971,             0.98113,             0.98283,             0.74751,            0.022447,           0.0038102,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.015754,           0.0064196,                   0,             0.97982,             0.98113,             0.98248,              0.7409,            0.021084,           0.0038264,                   0,             0.00208,             0.00208,             0.00208
                  82,             0.01628,           0.0061876,                   0,              0.9798,             0.98113,             0.98138,             0.74403,            0.020282,           0.0038682,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.016581,           0.0066079,                   0,              0.9798,             0.98113,             0.97937,             0.75109,            0.021024,           0.0039148,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.016062,           0.0066301,                   0,             0.97985,             0.98113,             0.98151,             0.74665,            0.021051,           0.0038141,                   0,            0.001783,            0.001783,            0.001783
                  85,             0.01637,           0.0062558,                   0,             0.97982,             0.98113,             0.97975,             0.73083,            0.020704,           0.0038541,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.015584,           0.0063177,                   0,             0.97989,             0.98113,             0.97978,             0.73096,             0.02075,           0.0038942,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.015481,           0.0064232,                   0,             0.97974,             0.98113,             0.97745,               0.729,             0.02075,           0.0039303,                   0,            0.001486,            0.001486,            0.001486
                  88,             0.01619,           0.0064672,                   0,             0.97981,             0.98113,              0.9794,             0.74766,            0.020931,           0.0038223,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.015753,           0.0062888,                   0,             0.97986,             0.98113,               0.979,             0.74204,            0.021549,            0.003831,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.015095,           0.0061085,                   0,              0.9798,             0.98113,             0.97935,             0.74731,            0.021948,           0.0039124,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.016124,           0.0064203,                   0,             0.97972,             0.98113,             0.98331,             0.74082,            0.021193,           0.0038432,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.015247,           0.0062645,                   0,             0.97971,             0.98113,             0.98225,              0.7492,            0.020754,           0.0038416,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.015051,           0.0059627,                   0,             0.97976,             0.98113,             0.98187,             0.74129,            0.021486,           0.0038378,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.015573,           0.0060516,                   0,             0.97975,             0.98113,             0.98009,             0.74472,            0.020915,           0.0038159,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.014775,           0.0060814,                   0,             0.97988,             0.98113,             0.98072,              0.7535,            0.021432,           0.0038063,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.015266,           0.0065892,                   0,             0.97987,             0.98113,             0.98073,             0.74825,            0.021377,           0.0038574,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.016177,             0.00623,                   0,              0.9798,             0.98113,             0.98149,             0.74626,             0.02203,             0.00386,                   0,            0.000496,            0.000496,            0.000496
                  98,             0.01465,           0.0062098,                   0,              0.9798,             0.98113,             0.98186,              0.7393,            0.021628,           0.0038574,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.015565,           0.0061215,                   0,             0.97978,             0.98113,              0.9827,             0.74252,            0.021446,           0.0038562,                   0,            0.000298,            0.000298,            0.000298
